Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","C_Elec_5x5.4",143.775000,-121.300000,0.000000,top
"C2","470n","C_0603_1608Metric",129.000000,-109.925000,-90.000000,top
"C3","470n","C_0603_1608Metric",130.500000,-109.925000,-90.000000,top
"C4","10u","C_0603_1608Metric",132.000000,-109.925000,-90.000000,top
"C5","10u","C_0603_1608Metric",129.375000,-103.737500,-90.000000,top
"C6","470n","C_0603_1608Metric",134.475000,-103.725000,-90.000000,top
"C7","100n","C_0603_1608Metric",133.500000,-109.925000,-90.000000,top
"J1","UPDI Programming","PinHeader_1x03_P2.54mm_Vertical",132.860000,-87.850000,90.000000,top
"J2","BUS POGO","PinHeader_1x04_P2.54mm_Vertical",125.375000,-103.865000,0.000000,top
"J3","Stepper Connector","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",130.475000,-129.100000,0.000000,top
"J4","Hall Effect","PinHeader_1x03_P2.54mm_Vertical",131.775000,-119.375000,-90.000000,top
"J5","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",145.075000,-88.790000,0.000000,top
"R1","0R","R_0805_2012Metric",131.187500,-107.150000,0.000000,top
"U1","ATtiny1616-MNR","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",138.600000,-94.800000,-90.000000,top
"U2","ULN2003ADR","SOIC-16W_5.3x10.2mm_P1.27mm",141.175000,-109.675000,-90.000000,top
"U3","SN65HVD72DR","SOIC-8_5.3x6.2mm_P1.27mm",129.875000,-94.475000,180.000000,top
"U5","SPX3819M5-L-3-3","SOT-23-5",131.975000,-103.537500,90.000000,top
